procedure_code,procedure_description,benefit_group
diag1186,Free Beta HCG - [CLIA Serum],clinical pathology
diag1194,Genetic Hair Loss Test - Alopecia - [EDTA Blood],clinical pathology
diag1206,"GROWTH DISORDER PANEL
(HGH.IGF-1 , IGFBP-3)",clinical pathology
diag1218,HBDH enzymatic - [Serum],clinical pathology
diag1222,HCG Beta Subunit CMIA - [CSF],clinical pathology
diag1223,HCG Beta Subunit CMIA - [Serum],clinical pathology
diag1224,HCG Beta Subunit CMIA - [Urine 24H],clinical pathology
diag1232,Hemochromatosis 2 Mutations - [EDTA Blood],clinical pathology
diag1246,Histamine EIA - [EDTA Plasma],clinical pathology
diag1267,HLA- Class I - A Locus -  [EDTA Blood],clinical pathology
diag1268,HLA- Class I - B Locus -  [ EDTA Blood],clinical pathology
diag1269,HLA- Class I - C Locus -  [EDTA-Blood],clinical pathology
diag1283,HMB-45 (Melanoma Marker) -  [Tissue],clinical pathology
diag1299,Iduronate 2 Sulphate Sulphatase Hurler/ MPS II Heparin - [Blood],clinical pathology
diag1302,IgD by Flow cytometry - [Blood],clinical pathology
diag1308,IgG4 Sub class - [Serum],clinical pathology
diag1312,IL 28 B SNP Genotyping Test - [EDTA Blood],clinical pathology
diag1320,Inhibin A CLIA  - [Serum],clinical pathology
diag1321,Inhibin B EIA - [Serum],clinical pathology
diag1340,JEV-Japanese Encephalitis Virus RNA detection by PCR - [CSF],clinical pathology
diag1342,JEV-Japanese Encephalitis Virus RNA detection by PCR - [Serum],clinical pathology
diag1357,Lamotrigine Level - [EDTA Plasma],clinical pathology
diag1358,LC-1 Antibody - Liver Cytosolic Antigen Type-1 - [Serum],clinical pathology
diag1371,Leucine Quantitative - [Serum],clinical pathology
diag1386,LHON Leber'S Hereditary Optic Neuropathy - [EDTA Blood],clinical pathology
diag1397,MAG Antibodies Demyelinating disorders - [Serum],clinical pathology
diag1406,Medullary Thyroid Carinoma Mutation Detection - Sequencing method  - [EDTA Blood],clinical pathology
diag1407,MELAS-Mutation Detection - [EDTA Blood],clinical pathology
diag1413,MERRF Mutation Detection - [EDTA Blood],clinical pathology
diag1418,Methionine Quantitative - [Serum],clinical pathology
diag1425,Mitochondrial (M2) Antibody by IFA - [Serum],clinical pathology
diag1430,Mucopolysaccharides (MPS) Type-I - [EDTA Blood],clinical pathology
diag1431,Mucopolysaccharides (MPS) Type-VI - [EDTA  Blood],clinical pathology
diag1433,MUSK Antibody Myasthenia gravis - [Serum],clinical pathology
diag1438,Myotonic Dystrophy Chomosome 19q 13.3 - [Blood],clinical pathology
diag1440,NARP Neurogenic Ataxia Retinitis Pigmentosa - [Blood],clinical pathology
diag1447,Nitrotyrosine Quantitative - [EDTA Plasma],clinical pathology
diag1455,NPM1 mutations AML - [EDTA Blood],clinical pathology
diag1456,NRAS mutations Exon-1 and 2 - [Tissue],clinical pathology
diag1457,NSE Neuron Specific Enolase - [Serum],clinical pathology
diag1459,NTx - N-Tellopeptide (Collagen Crosslinked) - [Urine 24H],clinical pathology
diag1468,Panfungal-DNA DNA detection by PCR - [Body fluids],clinical pathology
diag1469,Panfungal-DNA DNA detection by PCR - [CSF],clinical pathology
diag1470,PAPPa (Pregnancy Associated Plasma Protein) - [Serum],clinical pathology
diag1481,Pax 5 - IHC stain only - [Tissue / Block],clinical pathology
diag1501,Platelet Antibodies by IF Qualitative test - [Serum],clinical pathology
diag1504,PNH Confirmation Test FLAER method - [EDTA Blood],clinical pathology
diag1505,Pompe Disease Enzyme Assay - [Na Heparin Blood],clinical pathology
diag1525,Rett Syndrome MECP2 Deletion/ Duplication - [EDTA Blood],clinical pathology
diag1526,Rett Syndrome MECP2 Sequencing - [EDTA Blood],clinical pathology
diag1529,RNP-Sm Antibody - [Serum],clinical pathology
diag1560,Sm Antibody Smith Antibody - [Serum],clinical pathology
diag1562,Sphingomyelinase (Niemann Pick Disease) - [Na-Heparin Blood],clinical pathology
diag1568,ST2 Heart failure marker - [Serum],clinical pathology
diag1569,Steriod Panel for Congenital Adrenal Hyperlasia,clinical pathology
diag1576,Streptococcus pneumoniae Antigen detection - [CSF],clinical pathology
diag1577,Streptococcus pneumoniae Antigen detection - [Serum],clinical pathology
diag1578,Streptococcus pneumoniae Antigen detection - [Urine],clinical pathology
diag1583,T Cell Gene Rearrangement by PCR T-Cell Clonality - [EDTA Blood],clinical pathology
diag1595,Thyroid Antibodies - ATAB (Includes TPO and ATA) -  [Serum],clinical pathology
diag1603,TPHA-Treponema Pallidum Haemagglutination Assay -  [Serum],clinical pathology
diag1611,"Tuberculosis (MTB), rRNA detection by TMA (US FDA approved method) -  [BAL]",clinical pathology
diag1615,Typhoid DNA By Real time PCR - [CSF],clinical pathology
diag1621,UGT1A1 Gene Polymorphism TA Repeat - [EDTA Blood],clinical pathology
diag1629,Vimentin - IHC stain only - [Tissue / Block],clinical pathology
diag1638,VZV-Varicella Zoster Virus DNA detection by PCR - [CSF],clinical pathology
diag1644,Wilson Disease ATP7 B Gene Mutation - [EDTA Blood],clinical pathology
diag1647,Yo Antibody Neuronal antibody for Paraneoplastic syndromes- [Serum],clinical pathology
diag626,ADDITIONAL CHILD / PERSON [LEGAL],family planning services
diag629,FATHER  CHILD ONLY [PARENTITY DISPUTE] LEGAL,family planning services
diag630,GENETIC PROFILING (21 LOCI TEST - ALLELE SIZING),family planning services
diag637,MOTHER  CHILD (maternity dispute) LEGAL,family planning services
diag794,Acetylcholinesterase (RBC) OPC poisoning [Blood],clinical pathology
diag795,Acetylcholinesterase OPC poisoning [Plasma],clinical pathology
diag798,ACTN3 genotyping Sports gene [Blood],clinical pathology
diag800,"ACUTE MYELOID LEUKEMIA (AML) PANEL BY FLOW CYTOMETRY (CD7, CD19,CD13, CD14, CD15, CD33,CD34, CD117, CD41, CD45,CD61, GLYCOPHORIN A, HLADR,CD11b, CD16, CD64,CD56)",clinical pathology
diag801,ACYLCARNITINE (SERUM),clinical pathology
diag817,AFB Xpert Panel by Genexpert,clinical pathology
diag823,AFB-detection of rRNA by TMA [CSF],clinical pathology
diag824,AFB-detection of rRNA by TMA [Tissue],clinical pathology
diag825,AFB-detection of rRNA by TMA [Urine],clinical pathology
diag833,ALLERGEN-EXTENDED RHINITIS/ASTHMA PANEL-ADULT,clinical pathology
diag834,ALLERGEN-EXTENDED RHINITIS/ASTHMA PANEL-CHILD,clinical pathology
diag835,ALLERGEN-RHINITIS/ASTHMA INDOOR INHALANTS PANEL,clinical pathology
diag836,ALLERGEN-RHINITIS/ASTHMA PANEL,clinical pathology
diag842,Alpha Fucosidase [Heparing Blood],clinical pathology
diag845,Alpha Iduronidase Hurler / MPS I [Heparin Blood],clinical pathology
diag847,Alpha N Acetyl Glucosaminidase Sanfillipo B / MPS III B [Heparin Blood],clinical pathology
diag861,Amphiphysin Antibody Neuronal Ag in Paraneoplastic syndrome - [Serum],clinical pathology
diag881,Arginine Quantitative - [Serum],clinical pathology
diag902,B Cell Gene Rearrangement by Sequencing IGH Clonality - [Tissue],clinical pathology
diag903,Basal Ganglion Antibody - [Serum],clinical pathology
diag916,Beta Hexosaminidase A GM2-1/ tay sachs - [Blood],clinical pathology
diag917,Beta Hexosaminidase T GM2-2/ Sandhoff - [Blood],clinical pathology
diag920,"Beta Thalassemia, beta globin (HBB) gene sequencing 30 Mutations - [EDTA Blood]",clinical pathology
diag930,Biotinidase Quantitative - [Serum],clinical pathology
diag943,Bullous Pemphigoid 180 Vesiculobullous disorders - [Serum],clinical pathology
diag944,Bullous Pemphigoid 230 Vesiculobullous disorders - [Serum],clinical pathology
diag958,"Capecitabine Induced toxicity DPD,TS,MTHFR - [EDTA Blood]",clinical pathology
diag967,CBF Beta Inversion (16) by FISH AML-M4E0 - [Na Heparin Blood],clinical pathology
diag979,CD138,clinical pathology
diag982,CD15 - IHC stain only - [Tissue / Block],clinical pathology
diag989,CD20 - IHC stain only - [Tissue / Block],clinical pathology
diag643,"AFB, Culture by conventional  LJ medium -  [Sputum]",clinical pathology
diag651,"AFB, susceptibility for MOTT(Atypical Mycobacterium) -  [Pure culture]",clinical pathology
diag652,"AFB, susceptibility:10 drugs panel -  [Pure culture]",clinical pathology
diag653,"AFB, susceptibility:15 drugs panel -  [Pure culture]",clinical pathology
diag658,"AFB,susceptibility-Augmentin  -  [Pure culture]",clinical pathology
diag659,"AFB,susceptibility-Capreomycin -  [Pure culture]",clinical pathology
diag660,"AFB,susceptibility-Ciprofloxacin -  [Pure culture]",clinical pathology
diag661,"AFB,susceptibility-Clarithromycin -  [Pure culture]",clinical pathology
diag662,"AFB,susceptibility-Clofazimine -  [Pure culture]",clinical pathology
diag664,"AFB,susceptibility-Erythromycin -  [Pure culture]",clinical pathology
diag666,"AFB,susceptibility-Ethionamide -  [Pure culture]",clinical pathology
diag669,"AFB,susceptibility-Levofloxacin -  [Pure culture]",clinical pathology
diag670,"AFB,susceptibility-Ofloxacin -  [Pure culture]",clinical pathology
diag671,"AFB,susceptibility-PAS -  [Pure culture]",clinical pathology
diag672,"AFB,susceptibility-Prothionamide -  [Pure culture]",clinical pathology
diag673,"AFB,susceptibility-Pyrazinamide -  [Pure culture]",clinical pathology
diag675,"AFB,susceptibility-Roxithromycin  -  [Pure culture]",clinical pathology
diag676,"AFB,susceptibility-Sparfloxacin -  [Pure culture]",clinical pathology
diag678,Air : Bacteriological examination -  [NA],clinical pathology
diag679,Albert~s Stain for C.diphtheriae -  [Throat or Nasopharyngeal swab],clinical pathology
diag693,"C and I, Anaerobes - [Any Sample]",clinical pathology
diag694,"C and I, fungal - [Any Sample]",clinical pathology
diag709,"Culture, water (bacteriological)  -  [Water]",clinical pathology
diag714,Fructose  -  [Semen],clinical pathology
diag721,Gram`s  staining -  [Any Sample],clinical pathology
diag724,KOH mount -  [Any sample],clinical pathology
diag727,Microbial Identification - [pure culture],clinical pathology
diag747,Skin Smear for Hansen's Disease,clinical pathology
cli0002,Double Switch Procedure (Arterial and Atrial),surgeries
cli0003,2 Stage Revision Of Total Knee Replacement For Infection - First Stage,surgeries
cli0004,2 Stage Revision Of Total Knee Replacement For Infection - Second Stage,surgeries
cli0023,Amputation Of Whole Ray,surgeries
cli0025,Anastomosis Of Gall Bladder (To Another Viscus),surgeries
cli0026,Anastomosis Of Hepatic Duct,surgeries
cli0032,Ankle Syndesmosis Reconstruction,surgeries
cli0057,"Burn Wound/Scar Excision, Trunk and Limbs (Between 10% And 25% Of Body Area)",surgeries
cli0058,"Burn Wound/Scar Excision, Trunk and Limbs (Between 2% And 10% Of Body Area)",surgeries
cli0059,"Burn Wound/Scar Excision, Trunk and Limbs (Not More Than 2% Body Surface Area)",surgeries
cli0060,"Burn Wound/Scar Excision, Trunk And Limbs (Between 10% And 25% Body Surface Area)",surgeries
cli0061,"Burn Wound/Scar Excision, Trunk And Limbs (Between 2% And 10% Body Surface Area)",surgeries
cli0062,"Burn Wound/Scar Excision, Trunk And Limbs (Not More Than 2% Body Surface Area)",surgeries
cli0064,Bypass Of Duodenum,surgeries
cli0074,Family Planning (Injectibles),family planning services
cli0075,FBC/MP/ WIDAL,clinical pathology
cli0076,MECHANICAL VENTILATOR,medical appliances/consumables
cli0077,MEDICATION FOR IUI INTRA UTERINE INSEMINATION,medical appliances/consumables
cli0085,Daily Dressing (x 1 week),emergency/critical care
cli0094,Functional Capacity Evaluation FCE,surgeries
cli0095,Gynecological Health Checkup,selective health screening
cli0096,Training room and facility use,accomodation
cli0128,IMPOTENCY/FRIGIDITY PROFILE,infertility treatment-investigations
cli0129,HERPES I and II ELISA,clinical pathology
cli0142,Histology (rapid 5 days),clinical pathology
cli0146,Anti Citrulinated Protein Antibodies,clinical pathology
diag379,Tuberculosis -IgM antibodies -  [Body fluid],clinical pathology
diag385,Home Visit,clinical pathology
diag1664,aPTT 1:1 Mixing (test),clinical pathology
diag1675,"HBsAg, Screening -  [Serum]",clinical pathology
diag1676,"HBsAg, Spot test",clinical pathology
diag1677,"HBsAg, Spot test  -  [Serum]",clinical pathology
diag1702,Tuberculosis -IgA antibodies -  [Body fluid],clinical pathology
diag1703,Tuberculosis -IgG antibodies -  [Body fluid],clinical pathology
diag1709,Dr EsoZobor Specimen Handling (Urine and Serum),clinical pathology
diag1710,Dr. Nike antibodies sensitivity,clinical pathology
diag1718,MRI (Health Checkup),advanced and complex investigations
diag1750,MRI Left Thigh,advanced and complex investigations
diag1751,MRI leg (Thigh/Fumor),advanced and complex investigations
diag1766,MRI Rt Thigh,advanced and complex investigations
diag1777,MRI TM Joint (Left),advanced and complex investigations
diag1778,MRI TM Joint (Right),advanced and complex investigations
oph0003,T-MYCIN EYEDROP,non-chronic medications
oph0004,T-MYCIN OINTMENT,non-chronic medications
oph0018,varilux confort (plano to 6.00),spectacles frames and contact lenses
oph0023,Single Vision Plano to +4.75,spectacles frames and contact lenses
oph0024,Single Vision 5.00 to 6.75,spectacles frames and contact lenses
oph0025,Single Vision 7.00 to 8.75,spectacles frames and contact lenses
oph0026,Single Vision 9.00 + 12.00,spectacles frames and contact lenses
oph0027,Single Vision white as thin as possible (-3.00 to -5.00),spectacles frames and contact lenses
oph0028,Single Vision Photo,spectacles frames and contact lenses
oph0029,D-Top White,spectacles frames and contact lenses
oph0030,Invisible Bifocal,spectacles frames and contact lenses
oph0031,Invisible Bifocal AR,spectacles frames and contact lenses
oph0032,Varilux Comfort white 6.25 to 10.00,spectacles frames and contact lenses
oph0039,Gutt Travoprost,non-chronic medications
opt03,1.56 Blue Max [HMC] Progressive,spectacles frames and contact lenses
opt04,1.56 Blue UV [HMC] Progressive,spectacles frames and contact lenses
opt09,AR Coating on tinted lens,spectacles frames and contact lenses
opt100,IZOD B,spectacles frames and contact lenses
opt105,Lenticular Lens Special Order,spectacles frames and contact lenses
opt106,LUIS VUITTON FRAME,spectacles frames and contact lenses
opt116,Optical Frame with glasses,spectacles frames and contact lenses
opt124,Single \Vision Transition (Special Order),spectacles frames and contact lenses
opt125,Single Vision (Special Order),spectacles frames and contact lenses
opt126,Single Vision  AR,spectacles frames and contact lenses
opt127,SINGLE VISION AR,spectacles frames and contact lenses
opt128,Single Vision Blue Cat,spectacles frames and contact lenses
opt129,Single Vision Blue Cat Transition,spectacles frames and contact lenses
opt13,ARISTOCROM,spectacles frames and contact lenses
opt130,Single Vision Blue Cat Transition Ultrathin,spectacles frames and contact lenses
opt131,Single Vision Group A,spectacles frames and contact lenses
opt132,Single Vision Group B,spectacles frames and contact lenses
opt133,Single Vision Group C,spectacles frames and contact lenses
opt134,Single Vision Group D,spectacles frames and contact lenses
opt135,SINGLE VISION HIGH CYLINDER,spectacles frames and contact lenses
opt137,Single Vision Special Order,spectacles frames and contact lenses
opt138,Single Vision Transition AR,spectacles frames and contact lenses
opt140,Stafen Drop,spectacles frames and contact lenses
opt141,Standard Frame,spectacles frames and contact lenses
opt148,Varilux Comfort (-) Add,spectacles frames and contact lenses
opt149,Varilux Comfort () Add,spectacles frames and contact lenses
opt150,Varilux Comfort (Special Order),spectacles frames and contact lenses
opt151,Varilux Comfort  SP  AR,spectacles frames and contact lenses
opt152,Varilux Comfort AR,spectacles frames and contact lenses
opt155,Varilux Physio Prevencia Orma 1.5,spectacles frames and contact lenses
opt156,Varilux Transition (Special Order),spectacles frames and contact lenses
opt157,Varilux Transition AR,spectacles frames and contact lenses
opt158,Varilux Transition AR (Special Order),spectacles frames and contact lenses
opt159,VARILUX TRANSITION AR  ADD,spectacles frames and contact lenses
opt160,Varilux Transition Special order,spectacles frames and contact lenses
opt161,View Focal Anti reflective Lens (AR),spectacles frames and contact lenses
opt17,Bi Focal lens,spectacles frames and contact lenses
opt173,Dressing of the Eye,spectacles frames and contact lenses
opt18,Bifocal AR,spectacles frames and contact lenses
opt183,Entropion And Ectropion Repairs,spectacles frames and contact lenses
opt19,Bifocal AR Special Order,spectacles frames and contact lenses
opt190,Intraocular Lens Implantation  (Major-SURGICAL),spectacles frames and contact lenses
opt191,Paracentesis (A/C Washout)  (Major-SURGICAL),spectacles frames and contact lenses
opt192,Penetrating Keratoplasty (PKP)  (Major-SURGICAL),spectacles frames and contact lenses
opt22,Bifocal Transition Special order,spectacles frames and contact lenses
opt24,BVLgari 2021,spectacles frames and contact lenses
opt31,Designer Frame Group A,spectacles frames and contact lenses
opt32,Designer Frame Group B,spectacles frames and contact lenses
opt33,Designer Frame Group C,spectacles frames and contact lenses
opt34,Designer Frame Group D,spectacles frames and contact lenses
opt36,Drumoptol,spectacles frames and contact lenses
opt37,D-Top Bifocal (-) Add,spectacles frames and contact lenses
opt38,D-Top Bifocal () Add,spectacles frames and contact lenses
opt39,D-Top Bifocal (Special Order),spectacles frames and contact lenses
opt40,D-Top Transition,spectacles frames and contact lenses
opt43,ELLEN TRACY A,spectacles frames and contact lenses
opt44,ELLEN TRACY B,spectacles frames and contact lenses
opt46,ERDON,spectacles frames and contact lenses
opt48,EYE BRITE (full),spectacles frames and contact lenses
opt49,EYE BRITE (half),spectacles frames and contact lenses
opt53,Fixing of External frames,spectacles frames and contact lenses
opt55,Frame- Basic,spectacles frames and contact lenses
opt57,Frame Cord,spectacles frames and contact lenses
opt58,Frame Designer- Bvlgari,spectacles frames and contact lenses
opt59,Frame Designer- Cartier,spectacles frames and contact lenses
opt60,Frame Designer- Channel,spectacles frames and contact lenses
opt61,Frame Designer- Chopard,spectacles frames and contact lenses
opt62,Frame Designer- DandG,spectacles frames and contact lenses
opt63,Frame Designer- Dior,spectacles frames and contact lenses
opt64,Frame Designer- Fred,spectacles frames and contact lenses
opt65,Frame Designer- Gucci,spectacles frames and contact lenses
opt66,Frame Designer- Longines,spectacles frames and contact lenses
opt67,Frame Designer- Marc Jacobs,spectacles frames and contact lenses
opt68,Frame Designer- Max Mara,spectacles frames and contact lenses
opt69,Frame Designer- Prada,spectacles frames and contact lenses
opt70,Frame Designer- Puma,spectacles frames and contact lenses
opt71,Frame Designer- Salvatore,spectacles frames and contact lenses
opt72,Frame Designer- Swarovski,spectacles frames and contact lenses
opt73,Frame Designer- Tom Ford,spectacles frames and contact lenses
opt74,Frame Designer- Tommy Hilfiger,spectacles frames and contact lenses
opt78,Fused Bifocal (-) Add,spectacles frames and contact lenses
opt79,Fused Bifocal () Add,spectacles frames and contact lenses
opt80,Fused Bifocal (Special Order),spectacles frames and contact lenses
opt83,"Glazing, edging and fixing single vision bifocal lens",spectacles frames and contact lenses
opt84,"Glazing, edging and fixing single vision lens",spectacles frames and contact lenses
opt86,Hugo Boss 531,spectacles frames and contact lenses
opt90,Invisible Bifocal,spectacles frames and contact lenses
opt91,Invisible Bifocal (Special Order),spectacles frames and contact lenses
opt92,INVISIBLE BIFOCAL AR,spectacles frames and contact lenses
opt93,Invisible Bifocal SP,spectacles frames and contact lenses
ant0001,Caeserian Delivery - Baby Care,maternity
cons071,Subsequent Specialist Reviews,consultation specialist
cons081,SPEECH THERAPY(1STVISIT),consultation specialist
cons082,SPEECH THERAPY(FOLLOWUP),consultation specialist
drg01b,DAZELKIT(150MG/1G/1G),non-chronic medications
drg5011,Terra cotril eye susp.,non-chronic medications
drg5014,APTIZOOM SYRUP,non-chronic medications
drg5017,VARILRIX,non-chronic medications
out0006,THERBAND,medical appliances/consumables
out0014,Dermaplanning,medical appliances/consumables
out0018,Jelly Pedicure,medical appliances/consumables
out0021,Hot stone massage,medical appliances/consumables
out0022,G5 massage,medical appliances/consumables
out0023,NAIL ART USING STONE  PER FINGER,medical appliances/consumables
out0024,CLASSIC LASH EXTENTION,medical appliances/consumables
out0027,BASIC FACIAL,medical appliances/consumables
out0033,CLASSIC WISPY LASH EXTENTION,medical appliances/consumables
out0034,CLASSIC CAT EYE LASH EXTENTION,medical appliances/consumables
out0035,CLASSIC FULL SET LASH EXTENTION,medical appliances/consumables
out0038,SWEDISH MASSAGE    1HR,medical appliances/consumables
out0039,CARNIAL MASSAGE    20MIN,medical appliances/consumables
out0041,BACK THERAPY   20MIN,medical appliances/consumables
out0046,MICRONEEDLING,medical appliances/consumables
out0047,MICRONEEDLING HAIRLOSS  (3 SESSION),medical appliances/consumables
out0049,BODY PEEL,medical appliances/consumables
out0050,JASSNER PEEL,medical appliances/consumables
out0051,T.C.A PEEL,medical appliances/consumables
out0055,ACNELAN PEEL,medical appliances/consumables
out0056,KNUCKLE AND TOE TREATMENT,medical appliances/consumables
out0061,ADVANCE VITAMIN BOOSTER,medical appliances/consumables
out0064,STEM CELL BOOSTER,medical appliances/consumables
out0065,ENERGY BOOSTER,medical appliances/consumables
out0067,ADVANCE WHITENING,medical appliances/consumables
out0070,3 AREAS OF BOTOX,medical appliances/consumables
out0071,HYPERHIDROSIS,medical appliances/consumables
out0072,BOTOX FOR NECK,medical appliances/consumables
out0076,DEEP TISSUE MASSAGE   1HR30MIN,medical appliances/consumables
out0077,MORROCCAN BODY POLISH,medical appliances/consumables
out0078,TRADITIONAL MORROCCAN BATH,medical appliances/consumables
out0079,BODY POLISH,medical appliances/consumables
out0080,UNDER ARM BRIGHTENING BODY POLISH,medical appliances/consumables
out0083,GENTLEMAN'S URBAN POLISH,medical appliances/consumables
out0088,CHIN WAX,medical appliances/consumables
out0097,FULL HYBRID SET LASH EXTENTION,medical appliances/consumables
out0098,VOLUME CAT EYE LASH EXTENTION,medical appliances/consumables
out0099,VOLUME WISPY LASH EXTENTION,medical appliances/consumables
out0100,MEGA VOLUME  LASH EXTENTION,medical appliances/consumables
out0101,MEGA VOLUME FULL SET LASH EXTENTION,medical appliances/consumables
out0102,MEGA VOLUME WISPY  LASH EXTENTION,medical appliances/consumables
out0108,FULL SET OF ACRYLIC NAIL WITH GEL (SMALL MEDIUM),medical appliances/consumables
out0109,FULL SET OF ACRYLIC NAIL WITH GEL (LONG),medical appliances/consumables
out0110,FULL SET OF ACRYLIC NAIL WITH GEL (EXTRA LONG),medical appliances/consumables
out0111,FULL SET OF COLORED ACRYLIC NAIL (SMALL-MEDIUM),medical appliances/consumables
out0112,FULL SET OF COLORED ACRYLIC NAIL (LONG),medical appliances/consumables
out0113,FULL SET OF COLORED ACRYLIC NAIL (EXTRA LONG),medical appliances/consumables
out0115,FULL SET GLOW IN THE DARK (SMALL MEDIUM),medical appliances/consumables
out0117,GLOW IN THE DARK,medical appliances/consumables
out0120,FULL SET OF GLOW IN THE DARK (EXTRA LONG),medical appliances/consumables
out0121,FULL SET OF GLOW IN THE DARK REFILL,medical appliances/consumables
out0122,FULL SET OF MARBLE DESIGN (SMALL-MEDIUM),medical appliances/consumables
out0123,FULL SET OF MARBLE DESIGN (LONG),medical appliances/consumables
out0124,FULL SET OF MARBLE DESIGN (EXTRA),medical appliances/consumables
out0126,NAIL FULL SET OF TIP CREASE (SMALL-MEDIUM),medical appliances/consumables
out0128,ACRYLIC OVER LAY ON NATURAL NAILS,medical appliances/consumables
out0129,CHROME PER FINGER,medical appliances/consumables
out0132,EXTENSION WITH ARI POLISH,medical appliances/consumables
out0133,EXTENSION AND VANE POLISH,medical appliances/consumables
out0136,VANE POLISH,medical appliances/consumables
out0141,NAIL ART USING POLISH PER FINGER,medical appliances/consumables
out0142,NAIL ART USING 3D  PER FINGER,medical appliances/consumables
out0160,special C/S(patients with pre-existing conditions)twin,surgeries
pcd4005,Aesthetic And Reconstructive Surgery,surgeries
pcd4014,"Anaesthetics Agent Medium (Hernia, Appendix, Etc.)",surgeries
pcd4021,ANC  3 USS,maternity
pcd4056,Cervical Cerclage                                    GLOBAL FEE,surgeries
pcd4076,Congenital Multiple Digits Or Syndactyly,surgeries
pcd4222,Nasal Sinus Surgery E.G Caldwell Luc,surgeries
pcd4255,Pint Of Screened Blood (Rh  Ve) Positive,emergency/critical care
pcd4292,Routine/Simple Exodontias,surgeries
pcd4327,Surgery Of Torsion Of Spermatic Cord,surgeries
pcd4401,BILATERAL AURAL PACKING,surgeries
pcd799,ANNUAL HEALTH SCREENING- FEMALE,selective health screening
pcd800,ANNUAL HEALTH SCREENING- MALE,selective health screening
diag1784,BP Management,clinical pathology
diag1788,Glucose Monitoring Management,clinical pathology
diag1791,Pain / Vomiting / Convulsions Management,clinical pathology
diag1841,Reprint of Sonography film,ultrasound
diag1844,Sono Abdomen (Male),ultrasound
diag1854,Sono Gall-Bladder Study,ultrasound
diag1867,Sono Obstrics 4D scan,ultrasound
diag1872,Sono Right/Left Shoulder,ultrasound
diag1884,Sonourethrogram,ultrasound
diag1887,USG Guided Diagnostic Ascitic Tapping,x-rays and contrast studies
son0003,3-D ABDOMINAL SCANNING,ultrasound
son0013,Sono gluteal region,ultrasound
pcd148,Lung Exploration,surgeries
pcd156,Flumpect,surgeries
pcd167,Uvulopalatopharyngoplasty (UPPP),surgeries
pcd176,Removal Of Pharyngeal Pouch,surgeries
pcd19,Correction Of Nipple Inversion - Unilateral,surgeries
pcd20,Correction Of Nipple Inversion - Bilateral,surgeries
pcd235,Hydrocele Repair - Unilateral,surgeries
pcd243,Diathermy Penile Warts Or Minor Genital Skin Lesion Excision,surgeries
pcd247,Anterior Colporrhaphy,surgeries
pcd249,Posterior Colporrhaphy,surgeries
pcd250,Posterior Colporrhaphy And Enterocele,surgeries
pcd263,Hydrotubation,maternity
pcd275,After Birth Care,maternity
pcd303,ERPC EVACUATION MVA,surgeries
pcd312,Lacrimal Intubation - Bilateral,surgeries
pcd316,Entropion or Ectropion Repair - Unilateral,surgeries
pcd317,Entropion or Ectropion Repair - Bilateral,surgeries
pcd318,Correction Of Ptosis - Unilateral,surgeries
pcd319,Correction Of Ptosis - Bilateral,surgeries
pcd357,Intrastromal Corneal Ring Segment Implantation for Kerataconus,surgeries
pcd358,Intravitreal Injections (as determined by the eligibility criteria) must be performed by an,surgeries
pcd360,Photocoagulation Of Retina - Bilateral,surgeries
pcd379,Tendon grafting,surgeries
pcd384,Tendon Reconstruction - Ankle,surgeries
pcd385,Gastrocnemius Slide - Unilateral,surgeries
pcd395,Hind Foot Correction,surgeries
pcd405,Hammer Toe Repair - Bilateral,surgeries
pcd412,Ulnar Nerve Release - Elbow,surgeries
pcd414,Epicondylitis Release (Epicondylitis Debridement),surgeries
pcd415,Posterior Interosseous Nerve Release,surgeries
pcd421,Release Of Elbow Contracture,surgeries
pcd436,Excision Of Exostosis - Deep Bone,surgeries
pcd439,Debridement of One Digital Joint,surgeries
pcd441,Neurofasciotomy,surgeries
pcd458,"Debridement of Joint, Not Elsewhere Classified",surgeries
pcd459,Open Debridement of Tendon - Not Elsewhere Classified,surgeries
pcd487,Open Cruciate Ligament Repair and/or Reconstruction,surgeries
pcd507,Primary Suture,surgeries
pcd517,Stellate Ganglion Block,surgeries
pcd518,Biceps Tendon Release Or Tenodesis,surgeries
pcd523,Rotator Cuff Repair,surgeries
pcd533,Adjustments To Iiizarov Frame/Rings,surgeries
pcd556,"Posterior Thoracic Fusion With or Without Instrumentation, 1-2 Levels",surgeries
pcd557,"Posterior Thoracic Fusion With Instrumentation, 3 Levels",surgeries
pcd56,Sigmoidcolectomy With Formation of Stoma,surgeries
pcd565,Anterior Endoscopic Lumbar Fusion,surgeries
pcd567,"Posterior / Posterolateral Lumbar Fusion Without Instrumentation, 1 Level",surgeries
pcd590,Repair Of Mallet Finger,surgeries
pcd599,Volkmanns Contracture release,surgeries
pcd604,Replacement MCP Joint,surgeries
pcd605,Replacement Of CMC Joint,surgeries
pcd606,Fusion - Thumb,surgeries
pcd609,Fusion - IP Joint With Graft,surgeries
pcd611,Fusion - CMC Joint To Digits With Graft,surgeries
pcd617,Aortoiliac or Aortofemoral Bifurcation Graft (Occlusive Disease),surgeries
pcd625,Cross-Over Graft (Fem - Fem),surgeries
pcd629,Femoral Distal Above Knee graft - synthetic,surgeries
pcd631,Femoral Distal Below Knee Graft - Synthetic,surgeries
pcd634,Abdominal Aortic Aneurysm Replacement - Infrarenal - With Tube Graft,surgeries
