Procedure Code,Procedure Description,Benefit Group,,,,,,,,,,,,,,
DRG2887,SABRESTEN VAG CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2890,SAFETELMI 80MG (SACHETS),Non-Chronic Medications,,,,,,,,,,,,,,
DRG2893,Safi natural blood purifier,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2910,SENSODYNE DAILY CARE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2911,Sensodyne Deep Clean 75ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2912,SENSODYNE RAPID ACTION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2913,Sensodyne rapid action s/s 25G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2918,seven seas clo extra high strength x 60,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2920,SEVEN SEAS OMEGA3  CLO ONE A DAY X30CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2921,SEVEN SEAS ORANGE FLAVOR,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2923,SEVENS SEAS CAPS By 60,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2924,SEVENS SEAS simply timeless caps x120,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2948,SOLOMEGA CHEWABLE X30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2966,STIMUNO FORTE X 30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2968,STREPSILS INTENSIVE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2969,STREPSILS orange Vit c x 6,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2970,STREPSILS orange Vit c X12 SATCHET,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2971,STREPSILS original x 12,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2972,STREPSILS soothing honey x 12,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2973,STREPSILS soothing x 2'S,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2975,STUD 100 SPRAY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2977,STUGERON/SACH,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2984,SUITROX 250,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2991,SUMATRIPTAN 100mg X 6 (RELON),Non-Chronic Medications,,,,,,,,,,,,,,
DRG2993,SUMATRIPTAN TABS 100MG (MILPHARM),Non-Chronic Medications,,,,,,,,,,,,,,
DRG2994,SUPER Apeti Syr,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2996,supermag b/s 200ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2997,supermag s/s 100ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3045,TETRAMAC,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3050,THIOCAL 12 100ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3051,THIOCAL 12 200ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3052,THIOCAL 12 CHILDREN 200ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3062,TIXYLIX TODDLER SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3090,TreviaMet 50mg1000mg X5,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3097,Triflucon capsules 150mg x 1,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3099,TRIPLE ANTIBIOTIC OINTMENT,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3111,TUTOLIN CHILD C/S 100ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3112,TUTOLIN EXPECT X100ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3118,Tuxil running nose,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3124,TYDISILXTRA CREAM X20G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3125,Tylenol PM X24,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3127,ULSAKIT (ULCER KIT) PACK,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3135,UNIFLOX CIPRO infusion,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3139,Uniplex SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3153,VapoRub,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3154,VASELINE BLUESEAL M/S,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3156,Vastarel MR X3,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3180,VITACAP CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3192,VITAMIN D SYRUP (SPECS),Non-Chronic Medications,,,,,,,,,,,,,,
DRG3198,VOCALZONES,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3212,WATE ON EMULSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3213,WATER CARE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3215,WATER GUARD plus,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3219,WELLKID BABY and INFANT SYR *150ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3222,WELLKID SMART CHEWABLE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3223,WELLKID SOFT JELLY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3224,WELLKID SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3227,WELLMAN 50 PLUS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3228,WELLMAN 70 PLUS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3229,WELLMAN CAPS X 30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3231,Wellman health drink,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3234,WELLTEEN HER X30 TABS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3236,WELLWOMAN 50 PLUS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3237,Wellwoman 70 plus,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3241,Whitehouse Apple Cidar S/s,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3242,Whitehouse Apple Cider B/s,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3265,XYZAL DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3278,zedex cold,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3286,ZERODOL-CR PER SAC,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3293,ZILIV CAPS (SACHETS),Non-Chronic Medications,,,,,,,,,,,,,,
DRG3295,Zinc baby,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3297,ZINNAT 125MG/5MLS SYRUPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3301,Ziq soft gel capsule 3*10,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3317,ZYNCET SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4022,AGNESIA POWDER SMALL SIZE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4034,ALFA D 0.5MCG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4055,Aminogard Granules 5G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4060,Amivit Syrup 200ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4089,Anti Diarrhoea Mixture,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4093,Aquaclav 1g 4,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4103,Azmetrin 80/480mg x6,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4160,Chlorhexidine (Emxidine) 25g Gel,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4181,CLEEN ENEMA 21 4G 9 4G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4195,CLOTRIMAZOLE PESSARY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4210,CSM MENIGICOCCAL VACCINE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4275,Enrich ×30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4300,FARENAX CHILD TABS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4319,Fibromed (Natures field) x60,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4350,GINKGO BILOBA CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4358,GSK VARILRIX VARICELLA VACCINE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4359,Gynocare Vaginal Ovules x6,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4361,Haflone Plus 1.5g,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4366,HALOTHANE LIQ PER ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4371,HEM 9 CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4373,HEMPLAST 6,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4384,HS 12 Blood Builder,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4459,Ivax Suspension 55.05mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4467,JOINT RENEW CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4468,JOINTLUBE HYALURONIC ACID PLUSGLU,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4481,KETRAX SYRUP LEVAX,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4489,Konakion 2mg/0.2ml x5,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4493,LACTOBER LACTULOSE SYRUP 120ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4503,LEUPRORELIN (LEUPROLIDE) INJECTION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4522,Lumartem 20/120mg 2,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4523,Lumartem 20/120mg 8,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4524,Lumartem 20/120mg x24,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4525,Lumartem 20/120mg x6,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4529,Maxibust (Naturesfield) x60,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4551,Menoeaze (Naturesfield) x60,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4555,Mentholatum,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4557,MEROMIN SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4564,METHOCARBAMOL INJ IGM ROBINAX,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4597,MUMFER CHEWABLE TABLET,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4598,MUMFER ELEMENTAL IRON SYR 150ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4609,NEOCLAV 457 MG 5ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4626,Norinate 20/120mg 8,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4630,NUGEL O MINT FLAVOUR 200ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4654,Ova care x30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4676,PARVOLEX INJ 10MLS (ANTIDOTE),Non-Chronic Medications,,,,,,,,,,,,,,
DRG4677,Peel Power,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4679,Pemaclav 625mg 4,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4680,PEN V K TABS 500 000IU,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4699,Piperazine (Antezin) Elixir,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4704,PLASMA INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4731,Proxeed Plus (For Men) x30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4732,Prytune Children 140mg/5ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4734,Psyllium Husk Powder (Naturesfield),Non-Chronic Medications,,,,,,,,,,,,,,
DRG4736,PURIT LOTION 250ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4737,PURIT LOTION 5L,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4746,PYRITINOL HCL TAB1 TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4775,SENNA SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4797,SOFTBAN,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4798,SOLFAC IMPREGNATION KIT,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4800,Sorbitol (Nerosan) 5g x20,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4801,Sorbitol (Stada) 5g,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4820,Swedish bitters 250ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4882,Tropicamide (Mydriacyl) 1%,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4888,Tydineal 11.25mg w/w,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4899,Urocalm (Doppelherz Aktiv),Non-Chronic Medications,,,,,,,,,,,,,,
DRG4902,Vacutainer Plain Bottle,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4917,Varmycin 3.5mg Eye Oint.,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4932,Vital Pregna (Doppelherz Aktiv),Non-Chronic Medications,,,,,,,,,,,,,,
DRG4933,Vital Tonic (Doppelherz Aktiv) 250ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4934,Vitalipid Novum Adult,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4952,Waipa 30/225mg 2,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4958,Winthrop 100/270mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4959,Winthrop 25/67mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4960,Winthrop 50/135mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4961,Winthtrop 100mg/270mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4980,Yohimbe (Naturesfield) 800mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4993,Zitclav DS 500mg/125mg,Non-Chronic Medications,,,,,,,,,,,,,,
MED0008,COARTEM BY 12,Non-Chronic Medications,,,,,,,,,,,,,,
MED0009,COARTEM TAB BY 18,Non-Chronic Medications,,,,,,,,,,,,,,
MED0012,Tylenol Extra Strength by 24,Non-Chronic Medications,,,,,,,,,,,,,,
MED0013,VILGET M 500MG/1000MG BY 14,Non-Chronic Medications,,,,,,,,,,,,,,
MED0034,Aural Toilet - Including Microsuction,Non-Chronic Medications,,,,,,,,,,,,,,
MED0060,FERILEX JNR (BLOOD TONIC FOR CHILDREN),Non-Chronic Medications,,,,,,,,,,,,,,
MED0099,MILK OF MAGNESIUM,Non-Chronic Medications,,,,,,,,,,,,,,
MED0114,"PNEUMOVAX - (FOR SICKLERS, NEPHROTICS)",Non-Chronic Medications,,,,,,,,,,,,,,
MED0122,Dicycloverine (Centwin) Susp,Non-Chronic Medications,,,,,,,,,,,,,,
MED0127,Triamcinolone Paste (Oral Base),Non-Chronic Medications,,,,,,,,,,,,,,
MED0132,CEFACLOR CAPS 750MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0133,CEFACLOR (CLORACEF) 500MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0135,CIFRAN OD,Non-Chronic Medications,,,,,,,,,,,,,,
MED0138,ZANOCIN OD (OFLOXACIN),Non-Chronic Medications,,,,,,,,,,,,,,
MED0144,ACDT - ZERO (ANTACID),Non-Chronic Medications,,,,,,,,,,,,,,
MED0155,OSDIL,Non-Chronic Medications,,,,,,,,,,,,,,
MED0161,Monoamine oxidase inhibitor,Non-Chronic Medications,,,,,,,,,,,,,,
MED0163,HEPATITIS MULTI DOSE,Non-Chronic Medications,,,,,,,,,,,,,,
MED0164,MEKOAMIN SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
MED0165,MEKOVITA IRON SYR,Non-Chronic Medications,,,,,,,,,,,,,,
MED0169,CETRIZINE SYR (FOR PRIVATE PATIENTS),Non-Chronic Medications,,,,,,,,,,,,,,
MED0171,BETADINE LOTION,Non-Chronic Medications,,,,,,,,,,,,,,
MED0223,BIOXIME  - P (GRANULES),Non-Chronic Medications,,,,,,,,,,,,,,
MED0224,BIOXEME CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
MED0229,Liquid Nitrogen,Non-Chronic Medications,,,,,,,,,,,,,,
MED0234,Psoralen ultra- violet  light (PUVA),Non-Chronic Medications,,,,,,,,,,,,,,
MED0246,vaz-kit tablet,Non-Chronic Medications,,,,,,,,,,,,,,
MED0260,Dimetapp/Dimotane/Dimotane Co,Non-Chronic Medications,,,,,,,,,,,,,,
MED0265,Hismanal Susp. (50 Mls),Non-Chronic Medications,,,,,,,,,,,,,,
MED0266,Inspirease,Non-Chronic Medications,,,,,,,,,,,,,,
MED0268,Ipecac (Emetic),Non-Chronic Medications,,,,,,,,,,,,,,
MED0273,Mycostatin Drops,Non-Chronic Medications,,,,,,,,,,,,,,
MED0334,ORPHENSIC per satch,Non-Chronic Medications,,,,,,,,,,,,,,
MED0375,subacromial steroid inj,Non-Chronic Medications,,,,,,,,,,,,,,
MED0412,Proccessing & sterilozation of guaze,Non-Chronic Medications,,,,,,,,,,,,,,
MED0422,Combisunate Tab 40/240,Non-Chronic Medications,,,,,,,,,,,,,,
MED0424,Dalacin T topical 30ml,Non-Chronic Medications,,,,,,,,,,,,,,
MED0425,Dalacin T topical 60ml,Non-Chronic Medications,,,,,,,,,,,,,,
MED0436,Tripple Action Cream,Non-Chronic Medications,,,,,,,,,,,,,,
MED0443,Pregesic,Non-Chronic Medications,,,,,,,,,,,,,,
MED0446,Antepsin Ig,Non-Chronic Medications,,,,,,,,,,,,,,
MED0447,Levofem,Non-Chronic Medications,,,,,,,,,,,,,,
MED0456,Alprazolam (Anxiet) 0.5mg,Non-Chronic Medications,,,,,,,,,,,,,,
MED0457,syrup metoclopramide 5mls,Non-Chronic Medications,,,,,,,,,,,,,,
MED0482,DUOSTAM (TAMSULOSIN/DUTASTERIDE),Non-Chronic Medications,,,,,,,,,,,,,,
MED0505,ADVANT 8MG BY 28 TABS,Non-Chronic Medications,,,,,,,,,,,,,,
MED0535,octa care wound dressing,Non-Chronic Medications,,,,,,,,,,,,,,
MED0548,Acycoeplusaceclofenac+pcm,Non-Chronic Medications,,,,,,,,,,,,,,
MED0562,Anesthetic Agent (GA),Non-Chronic Medications,,,,,,,,,,,,,,
Physio010,Reciprocal Pulley,Orthopaedics/Orthotics,,,,,,,,,,,,,,
Physio0416,Quadripod,Orthopaedics/Orthotics,,,,,,,,,,,,,,
Physio212,Kinesiotape,Orthopaedics/Orthotics,,,,,,,,,,,,,,
GYM0002,Walk in per sessio,Gym Session,,,,,,,,,,,,,,
GYM0003,Walk in per session,Gym Session,,,,,,,,,,,,,,
vac1022,NULL 2,Other Services,,,,,,,,,,,,,,
vacc1210,NULL 1,Other Services,,,,,,,,,,,,,,
BIO0007,2Hpp,Clinical Pathology,,,,,,,,,,,,,,
BIO0030,HERPES SCREENING (ELIZA REST),Clinical Pathology,,,,,,,,,,,,,,
DIAG315,Sugar Level [Body Fluid],Clinical Pathology,,,,,,,,,,,,,,
DIAG322,Urea -  [Pericardial fluid],Clinical Pathology,,,,,,,,,,,,,,
DIAG1651,ADDITIONAL CHILD / PERSON [POM TESTING],Family Planning Services,,,,,,,,,,,,,,
DIAG1652,FATHER  CHILD only [PARENTITY DISPUTE] POM TESTING,Family Planning Services,,,,,,,,,,,,,,
DIAG1653,FATHER  MOTHER  CHILD ( POM TESTING ),Family Planning Services,,,,,,,,,,,,,,
DIAG1654,MOTHER  CHILD ONLY  (Maternity dispute) POM TESTING,Family Planning Services,,,,,,,,,,,,,,
DIAG386,AMH - Mullerian Inhibiting Substance [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG387,AMH -.Mullerian Inhibiting Substance [Serum]..,Clinical Pathology,,,,,,,,,,,,,,
DIAG392,HBsAg  (Confirmation and Quantification) - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG442,PDW -Platelet Distribution Width -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG457,Biopsy-Second opinion slides/blocks for histopathological examination.  -  [Block/ Slide],Clinical Pathology,,,,,,,,,,,,,,
DIAG461,C-erb-B2 for breast Her2 Neu   [Tissue/Block],Clinical Pathology,,,,,,,,,,,,,,
DIAG468,Cytology -  [Sputum],Clinical Pathology,,,,,,,,,,,,,,
DIAG481,FNAC - Cytological examination -  [FNAC fluid],Clinical Pathology,,,,,,,,,,,,,,
DIAG486,Histo Sample [ Above 10 Cassettes ],Clinical Pathology,,,,,,,,,,,,,,
DIAG495,Histopathology - Large Specimen (Tissue),Clinical Pathology,,,,,,,,,,,,,,
DIAG496,Histopathology - Medium specimen  -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG507,Large Biopsy  fungi studies,Clinical Pathology,,,,,,,,,,,,,,
DIAG510,Medium Biopsy  fungi studies,Clinical Pathology,,,,,,,,,,,,,,
DIAG519,Request for Tissue blocks for second opinion,Clinical Pathology,,,,,,,,,,,,,,
DIAG520,Small Biopsy  fungi studies,Clinical Pathology,,,,,,,,,,,,,,
DIAG575,HBeAb - Antibodies to Hepatitis B envelope Antigen -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1020,CD45-IHC stain only - [Tissue / Block],Clinical Pathology,,,,,,,,,,,,,,
DIAG1027,CD79A,Clinical Pathology,,,,,,,,,,,,,,
DIAG1048,Chromium Graphite Furnace AAS - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1049,Chromium Graphite Furnace AAS - [Urine 24H],Clinical Pathology,,,,,,,,,,,,,,
DIAG1067,C-Kit by PCR - [Blood  EDTA],Clinical Pathology,,,,,,,,,,,,,,
DIAG1068,CMV -Avidity test -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1078,Connexin 26 mutations - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1092,Cyfra (Ca) 21-1 - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1101,DCP-Decarboxy Prothrombin PIVKA-II - [Citrated Plasma],Clinical Pathology,,,,,,,,,,,,,,
DIAG1106,Deletion 1p/19q by FISH Oligodendrogliomas - [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG1115,Dengue NS1 antigen detection - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1119,Desmoglein III Antibody Vesiculobullous disorders - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1120,DF MMP-3 - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1125,DMD/ BMD (For Males Only) Deletion (18 Exons) (Muscular Dystrophy) - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1126,DMD/BMD-79 exons Deletion/Duplication Analysis MLPA - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1127,DNA Ploidy by Flow cytometry  breast tumor - [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG1129,Dopamine ELISA - [EDTA Plasma],Clinical Pathology,,,,,,,,,,,,,,
DIAG1146,"ELF Enhanced liver fibrosis HA, PIIINP, TIMP-1 - [Serum]",Clinical Pathology,,,,,,,,,,,,,,
DIAG1147,EMA (Epithelial Membrane Antigen) - HC stain only - [Tissue / Block],Clinical Pathology,,,,,,,,,,,,,,
DIAG1153,Epidermal Antibody by IF Vesiculobullous disorders - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1158,Everolimus LCMS - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1161,Factor V Activity (functional) -  [Plasma],Clinical Pathology,,,,,,,,,,,,,,
DIAG1166,FATHER  MOTHER  CHILD [LEGAL],Family Planning Services,,,,,,,,,,,,,,
DIAG1167,FDP DR 70 Onkosure - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1176,Filaria Antibody detection - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1177,FISH for HER2 NEU,Clinical Pathology,,,,,,,,,,,,,,
DIAG1179,FMC-7 by Flow cytometry - [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1183,Fragile X Mutation FMR1 Mutation - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1184,"Fredreichs Ataxia Mutation Analysis GAA Repeats, Autosomal Recessive Ataxia - [EDTA Blood]",Clinical Pathology,,,,,,,,,,,,,,
DIAG1186,Free Beta HCG - [CLIA Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1194,Genetic Hair Loss Test - Alopecia - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1206,"GROWTH DISORDER PANEL
(HGH.IGF-1 , IGFBP-3)",Clinical Pathology,,,,,,,,,,,,,,
DIAG1218,HBDH enzymatic - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1222,HCG Beta Subunit CMIA - [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG1223,HCG Beta Subunit CMIA - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1224,HCG Beta Subunit CMIA - [Urine 24H],Clinical Pathology,,,,,,,,,,,,,,
DIAG1232,Hemochromatosis 2 Mutations - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1246,Histamine EIA - [EDTA Plasma],Clinical Pathology,,,,,,,,,,,,,,
DIAG1267,HLA- Class I - A Locus -  [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1268,HLA- Class I - B Locus -  [ EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1269,HLA- Class I - C Locus -  [EDTA-Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1283,HMB-45 (Melanoma Marker) -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG1299,Iduronate 2 Sulphate Sulphatase Hurler/ MPS II Heparin - [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1302,IgD by Flow cytometry - [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1308,IgG4 Sub class - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1312,IL 28 B SNP Genotyping Test - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1320,Inhibin A CLIA  - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1321,Inhibin B EIA - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1340,JEV-Japanese Encephalitis Virus RNA detection by PCR - [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG1342,JEV-Japanese Encephalitis Virus RNA detection by PCR - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1357,Lamotrigine Level - [EDTA Plasma],Clinical Pathology,,,,,,,,,,,,,,
DIAG1358,LC-1 Antibody - Liver Cytosolic Antigen Type-1 - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1371,Leucine Quantitative - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1386,LHON Leber'S Hereditary Optic Neuropathy - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1397,MAG Antibodies Demyelinating disorders - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1406,Medullary Thyroid Carinoma Mutation Detection - Sequencing method  - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1407,MELAS-Mutation Detection - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1413,MERRF Mutation Detection - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1418,Methionine Quantitative - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1425,Mitochondrial (M2) Antibody by IFA - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1430,Mucopolysaccharides (MPS) Type-I - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
